"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Haben Sie schon einmal mit einem Unternehmen in Social Media interagiert? ","Bitte bewerten Sie die folgende Aussage. [Mir ist es wichtig, mit Unternehmen in Social Media interagieren zu können.]","Kennen Sie das Fediverse?","Nutzen Sie das Fediverse? ","Wofür nutzen Sie das Fediverse?    [Mit Freunden und Familie in Kontakt bleiben]","Wofür nutzen Sie das Fediverse?    [Neue Stories lesen]","Wofür nutzen Sie das Fediverse?    [Auffinden von Content]","Wofür nutzen Sie das Fediverse?    [Diskussionsthemen finden]","Wofür nutzen Sie das Fediverse?    [Unternehmungen finden]","Wofür nutzen Sie das Fediverse?    [Produkte finden]","Wofür nutzen Sie das Fediverse?    [Teilen und Diskutieren von Meinungen]","Wofür nutzen Sie das Fediverse?    [Neue Kontakte knüpfen]","Wofür nutzen Sie das Fediverse?    [Arbeitsbezogenes Networking oder Nachforschen]","Wofür nutzen Sie das Fediverse?    [Berühmten Persönlichkeiten oder Influencern folgen]","Wofür nutzen Sie das Fediverse?    [Posts über das eigene Leben verfassen]","Weshalb nutzen Sie das Fediverse nicht?  [Kein Interesse]","Weshalb nutzen Sie das Fediverse nicht?  [Zu kompliziert]","Weshalb nutzen Sie das Fediverse nicht?  [Die Plattformen gefallen mir nicht]","Weshalb nutzen Sie das Fediverse nicht?  [Mir fehlen Funktionen]","Weshalb nutzen Sie das Fediverse nicht?  [Zu wenig Nutzer]","Weshalb nutzen Sie das Fediverse nicht?  [Ich finde keinen passenden Content]","Weshalb nutzen Sie das Fediverse nicht?  [Sicherheitsbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Datenschutzbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Noch nicht eingehend damit beschäftigt]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass größere Transparenz bei der Anwendung, den Protokollen und dem Datenaustausch gegeben ist.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge eine Plattform, bei der Daten und Kontrolle auf viele verschiedene Gruppen verteilt sind, anstatt eine Plattform, bei der alles von einer einzigen Organisation kontrolliert wird.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass hohe Datenschutzstandards eingehalten werden.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge einen Account für alle Plattformen, statt je Plattform einen eigenen Account zu haben.]","Bewerten Sie bitte die folgenden Aussagen. [Social-Media-Plattformen sollten durch den Verkauf von Nutzerdaten oder Werbung monetarisiert werden.]","Bewerten Sie bitte die folgenden Aussagen. [Dem Einsatz von algorithmischen Ranking-Systemen zur Priorisierung von Content stehe ich positiv gegenüber.]","Bewerten Sie bitte die folgenden Aussagen. [Ich stehe Unternehmen positiv gegenüber, die auf Social Media Marketing, Verkauf und Service anbieten.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bewerte die Übernahmemöglichkeit von Social-Media-Plattformen durch andere Unternehmen als positiv.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass politische Unabhängigkeit und Neutralität gegeben sind.]","Wie wünschenswert ist es Ihrer Meinung nach, dass im Fediverse mehr Unternehmen repräsentiert sind, um mit Ihnen zu interagieren?","Wie alt sind Sie?","Welchem Geschlecht fühlen Sie sich zugehörig? ","Was ist derzeitiger Berufsstatus?"
"121","1980-01-01 00:00:00","6","de","752034759","1","A7","1","1","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","L7","L4","L7","L4","L1","L1","L2","L1","L7","LUF3","DEM15","33840","DEM32"
"122","1980-01-01 00:00:00","6","de","1314409535","1","A3","1","2","","","","","","","","","","","","0","0","0","0","1","0","0","0","1","L6","L6","L5","L7","L2","L3","L4","L1","L7","LUF6","DEM13","33840","DEM32"
"123","1980-01-01 00:00:00","6","de","1311005422","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L7","L7","L7","L7","L1","L1","L1","L1","L7","LUF1","DEM15","33840","DEM32"
"124","1980-01-01 00:00:00","6","de","482578990","2","A2","1","2","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","L7","L7","L7","L1","L1","L1","L1","L1","L7","LUF1","DEM15","33840","DEM32"
"125","1980-01-01 00:00:00","6","de","1804530039","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L6","L7","L3","L6","L5","L3","L5","LUF5","DEM12","47169","DEM31"
"126","","","de","1501231092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","1980-01-01 00:00:00","6","de","517574298","1","A6","1","1","0","1","1","1","0","0","1","1","0","1","1","","","","","","","","","","L6","L6","L2","L7","L1","L6","L1","L2","L6","LUF7","DEM14","33840","DEM32"
"128","","2","de","1905226978","1","A7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129","1980-01-01 00:00:00","6","de","1802413877","2","A5","1","1","0","0","1","1","0","0","1","1","0","0","0","","","","","","","","","","L7","L7","L7","L5","L1","L2","L4","L3","L7","LUF6","DEM15","47169","DEM36"
"130","1980-01-01 00:00:00","6","de","692135055","1","A5","1","2","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","L4","L2","L7","L5","L1","L3","L5","L2","L7","LUF5","DEM13","47169","DEM34"
"131","1980-01-01 00:00:00","6","de","914344297","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L5","L2","L2","L1","L3","L1","L7","LUF5","DEM13","47169","DEM37"
"132","","","de","801685648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133","1980-01-01 00:00:00","6","de","2133614954","2","A4","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L5","L5","L5","L4","L5","L4","L5","LUF4","DEM14","47169","DEM32"
"134","1980-01-01 00:00:00","6","de","1018887802","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L6","L4","L3","L5","L4","L4","L6","LUF4","DEM13","33840","DEM32"
"135","1980-01-01 00:00:00","6","de","404488802","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L2","L6","L2","L6","L5","L4","L6","L6","LUF4","DEM13","33840","DEM32"
"136","1980-01-01 00:00:00","6","de","45968793","2","A5","2","","","","","","","","","","","","","","","","","","","","","","L7","L7","L7","L4","L2","L4","L3","L2","L7","LUF6","DEM14","33840","DEM32"
"137","1980-01-01 00:00:00","6","de","805198993","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L7","L5","L2","L3","L6","L4","L6","LUF6","DEM15","33840","DEM32"
"138","1980-01-01 00:00:00","6","de","414705402","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L5","L6","L3","L2","L4","L4","L6","LUF6","DEM13","33840","DEM32"
"139","1980-01-01 00:00:00","6","de","998138957","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L7","L3","L2","L5","L6","L2","L6","LUF6","DEM13","47169","DEM32"
"140","","3","de","1479966252","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L4","L6","L6","","","","","","","","",""
"141","","","de","114210722","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","1980-01-01 00:00:00","6","de","847798673","2","A3","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L7","L3","L1","L4","L3","L1","L7","LUF4","DEM13","47169","DEM37"
"143","1980-01-01 00:00:00","6","de","143617310","2","A3","2","","","","","","","","","","","","","","","","","","","","","","L4","L5","L7","L6","L2","L4","L5","L5","L5","LUF5","DEM12","47169","DEM31"
"144","1980-01-01 00:00:00","6","de","736512300","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L6","L2","L2","L2","L5","L5","L5","LUF6","DEM13","33840","DEM32"
"145","","","de","1957766826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","1980-01-01 00:00:00","6","de","2143992416","2","A3","2","","","","","","","","","","","","","","","","","","","","","","L6","L4","L5","L4","L2","L2","L4","L3","L6","LUF4","DEM13","33840","DEM37"
"147","1980-01-01 00:00:00","6","de","945082591","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L4","L5","L7","L4","L4","L4","L5","L4","L6","LUF4","DEM13","33840","DEM32"
"148","1980-01-01 00:00:00","6","de","1273992956","1","A7","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L7","L2","L6","L3","L6","L2","L7","LUF6","DEM13","33840","DEM32"
"149","1980-01-01 00:00:00","6","de","1112077433","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L5","L7","L6","L1","L5","L5","L3","L6","LUF5","DEM13","47169","DEM32"
"150","","4","de","2058784464","2","A4","2","","","","","","","","","","","","","","","","","","","","","","L4","L4","L7","L7","L4","L5","L4","L4","L6","","","",""
"151","","","de","1134741557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152","1980-01-01 00:00:00","6","de","1912745632","2","A1","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L6","L2","L1","L1","L1","L2","L7","LUF1","DEM14","33840","DEM32"
"153","1980-01-01 00:00:00","6","de","832906458","2","A2","2","","","","","","","","","","","","","","","","","","","","","","L6","L2","L6","L4","L3","L5","L2","L3","L4","LUF4","DEM12","47169","DEM32"
"154","1980-01-01 00:00:00","6","de","400370572","2","A2","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L7","L4","L2","L3","L2","L2","L6","LUF6","DEM14","33840","DEM32"
"155","1980-01-01 00:00:00","6","de","1548062987","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L7","L6","L2","L2","L3","L4","L7","LUF4","DEM13","47169","DEM32"
"156","1980-01-01 00:00:00","6","de","1482609070","1","A2","1","1","0","1","1","1","0","0","0","1","0","0","0","","","","","","","","","","L6","L6","L7","L5","L1","L1","L3","L2","L7","LUF4","DEM14","33840","DEM32"

